#{"t_start": 1716703457.7062922, "env_id": "None"}
r,l,t
18.0,21,590.835001
17.0,21,590.843322
14.0,21,590.851744
37.0,21,590.859941
14.0,21,590.868366
17.0,21,594.308665
17.0,21,594.31719
5.0,21,594.325665
17.0,21,594.334085
-4.0,21,594.34247
67.0,21,598.495372
8.0,21,598.503757
17.0,21,598.512216
157.0,13,598.517342
8.0,21,598.525479
11.0,21,601.786816
18.0,21,601.795425
49.0,21,601.804585
8.0,21,601.8156
70.0,20,601.825196
5.0,21,605.819382
5.0,21,605.827605
26.0,21,605.835949
11.0,21,605.843963
14.0,21,605.852804
5.0,21,609.282801
8.0,21,609.291671
8.0,21,609.300379
26.0,21,609.308884
-1.0,21,609.317302
8.0,21,613.350753
17.0,21,613.358765
41.0,21,613.366846
11.0,21,613.374776
8.0,21,613.382949
8.0,21,616.598133
8.0,21,616.606411
8.0,21,616.614631
8.0,21,616.62257
8.0,21,616.630348
17.0,21,619.859599
-1.0,21,619.867869
8.0,21,619.875967
17.0,21,619.884162
17.0,21,619.892258
23.0,21,624.167712
147.0,21,624.176434
30.0,21,624.184999
17.0,21,624.193819
77.0,19,624.201851
23.0,21,627.812416
8.0,21,627.820752
8.0,21,627.828835
58.0,20,627.836618
8.0,21,627.844771
17.0,21,632.161115
26.0,21,632.169421
20.0,21,632.177604
2.0,21,632.185945
8.0,21,632.194136
21.0,21,635.44493
23.0,21,635.453116
29.0,21,635.46113
8.0,21,635.469032
17.0,21,635.476854
17.0,21,639.958025
8.0,21,639.966484
27.0,21,639.974811
36.0,21,639.983004
17.0,21,639.991687
8.0,21,643.548882
2.0,21,643.556823
32.0,21,643.564696
17.0,21,643.572786
-1.0,21,643.580878
17.0,21,647.781446
-1.0,21,647.790919
5.0,21,647.799564
33.0,21,647.809066
23.0,21,647.817757
88.0,21,651.405546
11.0,21,651.413575
-1.0,21,651.421858
8.0,21,651.429855
8.0,21,651.439306
17.0,21,655.368581
26.0,21,655.378268
5.0,21,655.38737
8.0,21,655.396081
11.0,21,655.405156
20.0,21,659.630074
17.0,21,659.638503
27.0,21,659.646413
17.0,21,659.654439
17.0,21,659.662374
